date,open,high,low,close,volume
2024-07-29,7.532352924346924,7.8925089836120605,7.527813911437988,7.690299034118652,111115806
2024-07-30,7.6900458335876465,7.745121955871582,7.319634914398193,7.391092777252197,90342029
2024-07-31,7.391110897064209,7.476481914520264,7.157474040985107,7.212071895599365,87902560
2024-08-01,7.2082719802856445,7.256622791290283,6.878482818603516,7.192255973815918,135896558
2024-08-02,7.192255973815918,7.230525016784668,6.558395862579346,6.606782913208008,135931186
2024-08-03,6.606782913208008,6.772086143493652,6.432622909545898,6.629199028015137,125628606
2024-08-04,6.629199028015137,6.6691107749938965,6.014480113983154,6.147510051727295,146065604
2024-08-05,6.147511005401611,6.171466827392578,4.722671985626221,5.371253967285156,420339151
2024-08-06,5.371225833892822,5.879387855529785,5.369637966156006,5.7841339111328125,163302342
2024-08-07,5.784101963043213,6.010796070098877,5.550563812255859,5.652373790740967,113462335
2024-08-08,5.652389049530029,6.309101104736328,5.604211807250977,6.290670871734619,127051152
2024-08-09,6.290670871734619,6.290788173675537,5.977103233337402,6.145476818084717,90444855
2024-08-10,6.145476818084717,6.245246887207031,6.09872579574585,6.188375949859619,54895695
2024-08-11,6.188395023345947,6.397074222564697,5.8898539543151855,5.9111328125,70623872
2024-08-12,5.9111328125,6.305075168609619,5.864314079284668,6.240120887756348,98680752
2024-08-13,6.240120887756348,6.391839027404785,6.093292236328125,6.348071098327637,85592351
2024-08-14,6.348071098327637,6.502220153808594,6.245573997497559,6.440561771392822,94931717
2024-08-15,6.440577983856201,6.442767143249512,6.094442844390869,6.213478088378906,91132888
2024-08-16,6.213478088378906,6.612572193145752,6.207466125488281,6.505556106567383,104038699
2024-08-17,6.505556106567383,6.543673992156982,6.345860958099365,6.41310977935791,60819380
2024-08-18,6.41310977935791,6.435033798217773,6.1746368408203125,6.175498008728027,68453973
2024-08-19,6.175498008728027,6.256676197052002,6.040074825286865,6.200655937194824,74262083
2024-08-20,6.200655937194824,6.467858791351318,6.1293559074401855,6.287988185882568,83370468
2024-08-21,6.267007827758789,7.197626113891602,6.255606174468994,7.097465991973877,165828380
